subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
020916_03,no-gaze,3_exposure,0.4074074074074074,0,0.6333333333333333,left,right,TRUE,image_away
020916_03,no-gaze,3_test,0.6974789915966386,0,0.26666666666666666,left,right,TRUE,image_away
020916_03,no-gaze,4_exposure,0.5163934426229508,0,0.43333333333333335,left,right,TRUE,image_away
020916_03,no-gaze,4_test,0.9256198347107438,0,0.3333333333333333,left,right,TRUE,image_away
020916_03,no-gaze,5_exposure,0.35964912280701755,0,0.16666666666666666,left,face,FALSE,image_away
020916_03,no-gaze,5_test,0.38596491228070173,0,0.4666666666666667,left,right,TRUE,image_away
020916_03,no-gaze,6_exposure,0.41284403669724773,0,0.5666666666666667,left,right,TRUE,image_away
020916_03,no-gaze,6_test,0.9327731092436975,0,0.43333333333333335,left,right,TRUE,image_away
020916_03,no-gaze,7_exposure,0.5045871559633027,0,0.4,left,face,FALSE,image_away
020916_03,no-gaze,7_test,0.6869565217391305,0,0.3333333333333333,left,right,TRUE,image_away
020916_03,no-gaze,8_exposure,0.2972972972972973,0,0.6333333333333333,left,right,TRUE,image_away
020916_03,no-gaze,8_test,0.7142857142857143,0,0.06666666666666667,right,left,TRUE,distracter_target
021016_01,no-gaze,1_exposure,0.5135135135135135,0,0.23333333333333334,face,left,TRUE,face_target
021016_01,no-gaze,1_test,0.7130434782608696,0,0.6,right,left,TRUE,distracter_target
021016_01,no-gaze,10_exposure,0.5934959349593496,0,0.4,face,right,TRUE,face_target
021016_01,no-gaze,10_test,0.6741573033707865,0,0.4,right,left,TRUE,distracter_target
021016_01,no-gaze,11_exposure,0.17886178861788618,0,0.36666666666666664,right,left,TRUE,distracter_target
021016_01,no-gaze,11_test,0.02459016393442623,0,1.8333333333333333,face,right,TRUE,face_target
021016_01,no-gaze,14_exposure,0.2,0,0.5,face,right,FALSE,face_distracter
021016_01,no-gaze,14_test,0.7391304347826086,0,0.2,face,right,FALSE,face_distracter
021016_01,no-gaze,15_exposure,0.6666666666666666,0,0.6333333333333333,face,right,FALSE,face_distracter
021016_01,no-gaze,15_test,0.7032967032967034,0,0.7333333333333333,face,left,TRUE,face_target
021016_01,no-gaze,16_exposure,0.8166666666666667,0,0.26666666666666666,face,right,TRUE,face_target
021016_01,no-gaze,16_test,0.14018691588785046,0,0.26666666666666666,right,left,TRUE,distracter_target
021016_01,no-gaze,2_exposure,0.22950819672131148,0,0.3,face,right,FALSE,face_distracter
021016_01,no-gaze,2_test,0.16346153846153846,0,0.16666666666666666,face,right,FALSE,face_distracter
021016_01,no-gaze,3_exposure,0.2184873949579832,0,0.5,left,right,TRUE,image_away
021016_01,no-gaze,3_test,0,0,NA,face,NA,NA,no_shift
021016_01,no-gaze,4_exposure,0.7758620689655172,0,0.4666666666666667,left,right,TRUE,image_away
021016_01,no-gaze,4_test,0.5517241379310345,0,0.16666666666666666,face,left,FALSE,face_distracter
021016_01,no-gaze,5_exposure,0.7474747474747475,0,0.43333333333333335,right,left,TRUE,distracter_target
021016_01,no-gaze,5_test,0.8803418803418803,0,0.23333333333333334,left,right,TRUE,image_away
021016_01,no-gaze,6_exposure,0.8018018018018018,0,0.26666666666666666,face,left,FALSE,face_distracter
